Arabic_Names,English_Names
برلنتي عبدالحميد,Berlanty Abdul Hamid
زينات علوي,Top decorations
كامل أنور,Full of Anwar
ضحى أمير,Prince sacrificed
سيد كراوية,Sayed Karawia
سعد ناصف,Saad Nasif
دولت حلمي,Dolt Helmy
مختار السيد,Mokhtar El Sayed
دولت كراوية,Dulat Karawi
لهلوبة  ,For a stroke
عايدة سلطان ,Aida Sultan
إسماعيل عبدالتواب,Ismail Abdel Tawab
فلاديمير,Vladimir
صلاح سيد,Salah Sayed
أمينة خيري,Amina Khairy
أحمد الطوخي,Ahmed Toukhi
سيد المغربي ,Sayed Moroccan
عبدالمنعم سيد تجا,Abdel Moneim Sayed Tja
محمد صلاح,Mohamed Salah
ماجدة أمير,Magda Amir
محمد شرابي,Mohammed Sharabi
فوزية حجازي,Fawzia Hijazi
حسام صالح,Hossam Saleh
دينا زاد,Dina Zad
رشدي خليفة,Rushdi Khalifa
عبدالرحمن زكي,Abdulrahman Zaki
ادهم رشدى,Adham Roshdy
نادية سلامة,Nadia Salameh
دلال محمد,Dalal Mohammed
إبراهيم رمزي,Ibrahim Ramzi
ناروز المصرى,Narrows the Egyptian
جلال حرب,Jalal Harb
حسن رياض,Hassan Riad
عبدالقادر حسين,Abdulqader Hussein
عبدالعزيز أبو الليل,Abdul Aziz Al-Layl
ميمي جمال,Mimi Jamal
روحية جمال,Spiritual beauty
عزيزة عثمان,Aziz Othman
زوزووعبده,Zouzouabdh
أنور مدكور,Anwar Madkour
محمد سرور,Mohamed Sorour
أنطوانيت أسكندر,Antoinette Iskandar
أبوخليل البيروتى,Abukhaleel al-Barouti
نيللي,Nelly
ميرفت,Mervat
ميرفت كاظم,Mervat Kazem
حسني فهمي,Hosny Fahmy
انيس حامد,Anis Hamid
سيلفانا,Sylvana
 كمال عبدالعزيز,Kamal Abdul Aziz
حياة بكر,A virgin life
نادية جمال,Nadia Jamal
احمد حسين,Ahmed Hussein
منير مراد,Mounir Mourad
سهير رضا,Suhair Reza
إحسان شريف,Ihsan Sharif
صلاح سرحان,Salah Sarhan
عبدالفتاح راشد,Abdul Fattah Rashid
قوت القلوب,The strength of hearts
هيلين,Helen
ليلى حمدي,Laila Hamdy
فوزية محمد,Fawzia Mohammed
فتحي الصافوري,Fathi El Safoury
السيد فهمي,Mr. Fahmi
عائشة حسن,Aisha Hassan
فوزي توفيق,Fawzi Tawfiq
نزهة يونس,Nozha Younes
هيام  يونس,Hiam Younes
زينب عبده,Zainab Abdo
ابن الليل,Son of the night
عبدالرحمن الفران,Abdulrahman Al-Farran
كريمان,Creeman
آمال خميس,Amal Khamis
يوسف شاهين,Youssef Chahine
عادل مأمون,Adel Mamoun
ميمي,Mimi
عبدالحليم حافظ,Abdel Halim Hafez
نعمت مختار,Naamat Mukhtar
بدرية رأفت,Badriyah Raafat
سيد درويش الطنطاوي,Sayed Darwish Tantawi
علي شكري,Ali Shoukry
حسن حامد,Hassan Hamid
زكى حسن,Zaki Hassan
نؤنؤ,We groan
حبايب,Habayeb
فوزيه إبراهيم,Fawzi Ibrahim
نجاح سلام,The success of peace
علي دياب,Ali Diab
العربى مصطفى,Arab Mostafa
أحمد الحمامي,Ahmed Hamami
جيلدا,Gilda
لين,Lin
نيا,Nia
سناء,Sanaa
امينة,Amina
فكرية,Intellectual
أنور الشناوي,Anwar Al Shennawi
نجية أحمد,Najia Ahmed
نادية رياض,Nadia Riad
حمدي غيث,Hamdi Ghaith
فاطمة السلحدار,Fatima Al - Selhdar
محمد عبدالعزيز,Mohammed Abdulaziz
نوال,Nawal
نبيل الزقزوقي,Nabil Zaqzouki
نيرة ماهر,Nira Maher
عبدالرحيم عياد,Abdul Rahim Ayyad
عزت الجاهلي,Izzat al-Jaahili
سهير عبده,Suheir Abdo
نورا,Nura
جواهر,Jewels
محمد أحمد المصري (أبو لمعة),Mohamed Ahmed El Masry (Abu Lamaa)
فؤاد راتب (الخواجة بيجو),Fouad Rateb (Al Khawaja Peugeot)
محاسن مرسي,Beauties of Mursi
أنور منسى,Anwar Mansi
العربى الصغير,The Little Arab
رضا الجمل,Reda Al Jamal
محمد البدويهى,Mohamed El Badawyy
شوشو عز الدين,Shosho Izz Aldin
سلوى عز الدين,Salwa Ezz El Din
أحمد شوقي,Ahmad Shawqi
مروان حلمي,Marwan Helmy
فيفي سلامة,Vivi Salama
داليدا,Dalida
عبدالفتاح زكي,Abdel Fattah Zaki
عايدة عثمان,Aida Othman
روحية فرج,Spiritual Faraj
كاميليا أمين,Camellia Amin
مراد حكيم,Murad Hakim
سيد المنشاوى,Sayed El Menshawy
على عيسى,On Isa
جورج عساف,George Assaf
حسين قنديل,Hussein Kandil
زازا,Zaza
هناء عادل,Hana Adel
فريد عبدالله,Farid Abdullah
فاروق عجرمة,Farouk Ajrama
علي منصور,Ali Mansour
رضا السيد,Reza El Sayed
أمين هاشم,Amin Hashim
حسن عبدالسلام,Hassan Abdel Salam
جلال عيسى,Jalal Issa
رسمية حجاج,Official pilgrims
شوقى عزوز,Shawky Azouz
محمود صبحي,Mahmoud Subhi
محمود حافظ,Mahmoud Hafez
بهية حجازي,Bahia Hijazi
الدويتو الأمريكى,The American duet
إبراهيم يونس,Ibrahim Younis
هدى عبدالفتاح,Hoda Abdel Fattah
نعمات المليجي,Nemat El Meligy
عبدالمنعم إمام,Abdul Moneim Imam
عزت طعمية,Izzat Taamieh
أحمد فؤاد,Ahmed Fouad
الشيخ محمد الفيومي,Sheikh Mohammed Al Fayoumi
وفاء شريف,Wafa Sharif
إلهام زكي,Elham Zaki
احمد طلعت,Ahmed Talaat
عمر الشريف,Omar el-shiref
سراج جمعة,سراج جمعة
منيرة عبدالمحسن,Mounira Abdelmohsen
نادية فهمي,Nadia Fahmy
محمود حمدي,Mahmoud Hamdi
عبدالرحمن هندام,Abdulrahman Hendam
محمد مرعي,Mohamed Mari
نظيم شعراوي,Nazim Shaarawi
أحمد الحماقى,Ahmed Hamaki
عبدالسلام خفاجه,Abdul Salam Khafajah
ضياء السويفي,Dia Sweifi
حسنى كلود,Hosny Claude
محمد عباس,Mohammed Abbas
سلامة الحسينى,Salama Al Husseini
محمد عبدالمجيد,Mohammed abd al majeed
حسن نشأت,Hassan Nashat
عبدالمنعم عبدالرحمن,Abdel Moneim Abdel Rahman
حسن إسماعيل,Hassan Ismail
مروان راشد,Marwan Rashed
محمد غنيم,Mohamed Ghoneim
محمد عبدالعظيم,Mohammed Abd Aladim
حمدى حسن,Hamdy Hassan
محمد حسن,Mohamed Hassan
زيزي البدراوي,Zizi al-Badrawi
عمر عفيفي,Omar Afifi
بندق حسن,Good hazelnut
نبيل العشري,Nabil El Ashry
وحيد شكرى,Wahid Shukry
عبداللطيف رشدي,Abdul Latif Rushdi
سيد العربي,Sayed Arabi
عبدالسلام المنشاوي,Abdul Salam Manshawi
عبده نيابه,Abdo Neibah
نجاة الصغيرة,Small Najat
والي السيد,Mr
فيفي يوسف,Fifi Yusuf
إيمان,Faith
احمد عيسى,Ahmed Issa
عبدالرحمن المصرى,Abdul Rahman Al Masry
مصطفى منسى ,Mustafa Mansy
آمال فريد,Amal Farid
حسن توفيق,Hassan Tawfiq
نعيم مصطفى,Naeem Mustafa
أكرام جودت,Akram Goodt
محمد عزت,Mohamed Ezzat
كمال الزيني,Kamal al-Zaini
بديع عاصم,Badi Asim
نهاد نادر,Nihad Nader
محمدي محمد,Mohammadi Mohammed
صلاح شكرى,Salah Shokry
حسن السايح,Hassan Sayeh
عبدالشافي محمد,Abdul Shafi Mohammed
محمود عشماوي,Mahmoud Ashmawy
عصمت رأفت,Ismat Raafat
فهمي عمر,Fahmy Omar
عايدة هلال,Aida Hilal
مؤمن إسماعيل,Mo&#39;men Ismail
عباس أحمد,Abbas Ahmed
ازهار محمد,Flowers of Mohammed
جابر أحمد,Jaber Ahmed
زكى فودة,Zaki Foda
نصيف مرجان,Naseef Morgan
عزيز بدر,Aziz Badr
أحمد رمزي,Ahmed Ramzy
محمود فرج,Mahmoud Faraj
ثريا عز الدين,Thoraya Ezz El Din
أحمد سعيد,Ahmed saeed
قدرية كامل,Full potency
ليلى كريم,Laila Karim
أنور محمد,Anwar Mohammed
علي الغندور,Ali Ghandour
نعيم فهمي,Naeem Fahmy
سلوى جلال,Salwa Jalal
ممدوح كامل,Mamdouh Kamel
سعيد عبدالمتعال,Saeed Abdel Muttal
جمال ابو رية,Jamal Abu Raya
عدنان,Adnan
مروان,Marwan
سعاد ثروت,Soad Tharwat
أحمد كامل,Ahmed Kamel
محمد الهواري,Mohammed Al - Hawari
فت فت,I am fat
سهير الباروني,Suhair Barouni
مها سليم,Maha Salim
مجدى مرزوق,Magdy Marzouk
محى الدين مرزوق,Mohieddin Marzouk
رفعت إبراهيم,Refa&#39;at Ibrahim
ناهد عبدالعزيز,Nahed Abdulaziz
مقبولة علم الدين,Acceptable knowledge of religion
سعيد فرج,Said Faraj
محمد عبدالحميد,Mohammed Abdulhameed
ماريز لانجو,Mariz Lango
أنتيك ملكيور,Antik Melchior
ميرنا لوي,Myrna Lowe
كوثر رمزي,Kawther Ramzi
وفاء,Wafaa
سهير أيوب,Suheir Ayoub
رؤوف كامل,Raouf Kamel
قطقوطة,Catqouta
فؤاد جعفر,Fouad Jaafar
جميل عز الدين,Jamil Ezz El Din
بثينة حسن,Buthaina Hassan
جمال الدين محمود,Gamal El Din Mahmoud
سلوى عبدالعزيز,Salwa Abdulaziz
أحمد سليمان,Ahmed Souliman
  سعيد حسن ,Said Hassan
فادية إبراهيم,Fadia Ibrahim
خالد العجباني,Khaled Al Ajbani
زكي,Zaki
فتحى عزيز,Fathy Aziz
سلوى محمود,Salwa Mahmoud
كريم ضياء الدين,Karim Ziauddin
ليلى سامى,Laila Samy
إبراهيم حامد,Ibrahim Hamid
إبراهيم خان,Ibrahim Khan
مها,Maha
أحمد المصطفى,Ahmed Mustafa
فتحية عبدالغني,Fathia Abdul Ghani
أمين الزعبلاوي,Amin Alzablawi
عدنان الشنطى,Adnan Al-Shanti
فجر,dawn
محمود فريد,Mahmoud Farid
ريري ابراهيم,Reiry Ibrahim
فوزى درويش,Fawzy Darwish
زبيدة ثروت,Zubaida Tharwat
رجاء سراج,Please see
تهاني راشد,Congratulations Rashed
نبيلة,Noble
كريمة,Generous
صلاح ذو الفقار,Salah Zulfikar
محيي الحماقي,Download Download
حمدي السيد,Hamdi El Sayed
بدر نوفل,Badr Nofal
حسن الجنايني,Hassan al-Janini
نادية حبيب,Nadia Habib
لطفي عبدالحميد فتله,Lotfi Abdul Hamid Fattla
نوال مصطفى,Nawal Mustafa
سيد مكاوي,Sayed Makkawi
محمد عبدالنبي,Mohammed Abdulnabi
محمد حمدي,Mohammed Hamdi
شكيب خوري,Shakib Khoury
منير نادر,Mounir Nader
سهير البابلي,Suheir al-Babli
فريال محمد,Ferial Mohammed
أحمد كمال,Ahmed Kamal
  فوزية حسن,Fawzia Hassan
رشوان توفيق,Rashwan Tawfiq
جمال الدماطي,Jamal Al-Damati
تيتا صالح,Tita Saleh
عبدالعزيز غنيم,Abdul Aziz Ghoneim
محروس الجارحي,Mahrous Al - Jarhi
حسين الشلقانى,Hussein Al - Shalqani
نوال كامل,Nawal Kamel
رجاء الأمير,Please the Prince
زكريا صالح,Zakaria Saleh
زغلول فهمى,Zaghloul Fahmy
عزة وحيد,Azza Wahid
فخرى فرج,Fakhry Faraj
منيرة سنبل,Mounira Saneb
صلاح المصري,Salah al-Masri
سميرة حسين,Samira Hussein
رأفت شلبي,Raafat Shalaby
عبدالقادر حسن,Abdulqader Hassan
محمد الموجي,Mohammed Al-Moji
يوسف فخر الدين,Yousef Fakhreddine
تهانى شوقى,Tahany Shawky
وحيد عزت,Wahid Izzat
أحمد المغاورى,Ahmed El Maghawary
خميس سكر,Khamis Sugar
ليلى يسري,Laila Yousry
ريري,Reiri
ماهر العطار,Maher Al Attar
ليلى صادق,Laila Sadek
تيرى كامل,Teri Kamel
بليغ حبشي,Baligh Habashi
نادية شريف,Nadia Sherif
زين العشماوي,Zain Al Ashmawi
سمير شديد,Samir Shedid
هدى عبده,Hoda Abdo
ضياء رضوان,Dia Radwan
سمر عطية,Samar Attieh
نجيب غطاس,Najib Ghattas
سيد سرحان,Sayed Sarhan
لبنى عبدالعزيز,Lubna Abdel Aziz
عصمت محمود,Ismat Mahmoud
محمد أميري,Mohamed Amiri
آمال فهمي,Amal Fahmi
فكرية كامل,Full intellectual
ليلى الدماطى,Laila Al - Damati
عبدالعزيز أسعد,Abdul Aziz Assaad
إعتدال حسن,Moderation is good
محسن خيري,Mohsen Khairy
عادل ثابت,Adel Thabet
هناء عبدالفتاح,Hana Abdel Fattah
إيهاب الأزهري,Ihab El Azhary
فؤاد راشد,Fouad Rashid
جورج كاركوريان,George Carcourian
نجيب محمود,Naguib Mahmoud
فاروق محمد,Farouk Mohamed
محمد السباع,Mohammed al-Sebaa
هدى زكي,Huda Zaki
محمد فخري,Mohammed Fakhri
عيشة محمود,Aisha Mahmoud
سوزان مجدى,Susan Magdy
نادية علي,Nadia Ali
فايزة أحمد,Fayza Ahmed
فايزة عبدالجواد,Fayza Abdul Jawad
سيد خليفة,Sayed Khalifa
هالة فاخر,A fancy halo
قيس عبدالفتاح,Qais Abdel Fattah
نجوى سعد,Najwa Saad
رشاد منصور,Rashad Mansour
منى بدر,Mona Badr
سهام,Arrows
علي وجدي,Ali Wagdy
فريدة فهمي,Farida Fahmy
كريمة مختار,Karima Mokhtar
جمال سامي,Beauty Sami
عبدالغفار ابو العطا,Abdul Ghaffar Abu Al Atta
فرحات عمر (الدكتور شديد),Farhat Omar (Dr. Shedid)
وفاء عادل,Wafa Adel
سعاد علي,Suad Ali
سعدية ندا,Saadia Nada
فايزة ابراهيم,Fayza Ibrahim
إبراهيم السيد,Mr. Ibrahim
احمد حماد,Ahmed Hammad
مدحت مرسي,Medhat Morsi
محمود حجازي,Mahmoud Hijazi
أحمد الحريري,Ahmed Hariri
محمد شعلان,Mohammed Shaalan
فاروق رمضان,Farouk Ramadan
مصطفى الكواوي,Mostafa El Kawawy
إجلال زكي,Praise be to Zaki
مختار أمين,Mokhtar Amin
حمزة الشيمي,Hamza Alshimi
ايمان حسين صدقي,Iman Hussein Sidqi
أشرف حسين صدقي,Ashraf Hussein Sidqi
إبراهيم عبدالرازق,Ibrahim Abdel Razek
منى جبر,Mona Gabr
يوسف شعبان,Youssef Shaaban
حورية (رفيعة هانم),Huraira (Rafia Hanim)
عزيز ناصر,Aziz Nasser
منى (وزة),Mona (Waza)
نجوى فؤاد,Nagwa Fouad
فيكتوريا كوهين,Victoria Cohen
جاكلين,Jacqueline
الياس صوفان,Elias Soufan
عبدالمنعم احمد,Abdel Moneim Ahmed
عباس نجيب,Abbas Najib
عبدالمجيد عامر,Abdul Majid Amer
أحمد فرحات,Ahmed Farhat
عدوي غيث,Addy Ghaith
ابتسام,smile
فرقة الدراويش,Darwish band
حلمي هلالي,Helmi Hilaly
محمد درويش,Mohammed Darwish
أحمد الشناوي,Ahmed El-Shenawy
ليلى طاهر,Laila Taher
أزهار شريف,Sharif Flowers
محمد رشدي,Mohamed Roshdy
سمير عطيه,Samir Attieh
محمود الحلو,Mahmoud El Helou
حسين السامرائى,Hussein al - Samarrai
  رمزية حميد,Good symbolism
مقبولة حسين,Accepted Hussein
كاترين يوسف,Catherine Joseph
 عبدالله زكي,Abdullah Zaki
غازي التكريتي,Ghazi Al-Tikriti
أحمد الأباصيري,Ahmed Abasiri
فاروق الدمرداش,Farouk Al - Demerdash
اسعد قلادة,Happiest necklace
شيرين,Shereen
سهير,Sohair
نوال مرسي,Nawal Morsi
غريب معوض,Strange strange
محمد مظهر,Mohamed Mazhar
أحمد طنطاوي,Ahmed Tantawi
مايك والسكاي روكتس,Mike and the Sky Rockets
علية بسيم,Alia Basim
وفاء كامل,Wafa Kamel
سوزي خيري,Suzi Khairi
زينب عبدالعزيز,Zainab Abdul Aziz
محمد سعيد,Mohammed Saeed
شكل,Form
محمود عقل,Mahmoud Akl
نعيمة الهوارى,Naima Al - Hawary
إجلال حسنى,Ijalal Hosni
إعتدال محمد,Moderation of Muhammad
فتحى عبدالحفيظ,Fathi Abdelhafeez
أنور البابا,Anwar the Pope
رفيق شكري,Rafiq Shoukry
حسنه حسنين,Hassan Hassanein
نادية لطفي,Nadia Lotfi
سونيا عبد الوهاب,Sonya Abdel Wahab
نوال عطيه,Nawal Attieh
ابراهيم عوض,Ibrahim Awad
منى عمارة,Mona Amara
صالح الإسكندراني,Saleh al-Iskandarani
محمود مختار,Mahmoud Mokhtar
أحمد صبري,Ahmed Sabry
حمدى العشري,Hamdy Al - Ashry
محمد أباظة,Mohamed Abaza
مصطفى عزمي,Mostafa Azmy
سعد قطب,Saad Qutb
عبدالرحمن أبو زهرة,Abdulrahman Abu Zahra
فتحية المليجى,Fathia El Meligy
عبدالسلام محمد,Abdul Salam Mohammed
أمين عنتر,Amin Antar
جميل غالي,Beautiful and expensive
زعيط ومعيط,Zu&#39;ait and Miqat
فايق بهجت,Fayek Bahgat
ناهد شريف,Nahed Sherif
راوية,Narrated by
نادية نور,Nadia Nour
مها صبري,Maha Sabry
عثمان المنياوى,Othman Al-Minawi
عزت عبدالجواد,Izzat Abdel-Jawad
خليل بدر الدين,Khalil Badr al-Din
عمران,Omran
إسماعيل كامل,Ismail Kamel
فايزة عبده,Fayza Abdo
وفاء حلمي,Wafa Helmy
عمر نصر,Omar Nasr
سلوى رشدى,Salwa Roshdy
عبدالحليم النحال,Abdul Halim Al Nahhal
زكي عزب,Zaki Azab
محمود عبدالعزيز,Mahmoud Abdel-Aziz
إغراء,Lure
رشدي المهدي,Rushdie Al Mahdi
أحمد حسن الشرقاوي,Ahmed Hassan El Sharkawy
أماني صادق,Amani Sadek
أسامة صادق,Osama Sadek
محمد الدفراوي,Mohamed El Dafrawi
محمد بدر الدين,Mohamed Badr El Din
سيد الريس,Sayed Al Rayes
عبدالعزيز,Abdel Azeez
اسماعيل رزق,Ismail Rizk
زين العابدين سالم,Zine El Abidine Salem
كامل الصاوى,Full Sawy
عبدالحميد الحسيني,Abdul Hamid Al Husseini
محمد شعبان,Mohammed Shaban
عبدالمحسن سليم,Abdulmohsen Salim
موسى صبري,Mousa Sabry
ثروت فهمي,Tharwat Fahmy
كمال ثروت,Kamal Tharwat
نوال إبراهيم,Nawal Ibrahim
نرجس,Narcissus
دوللي,Dolly
إلهام إبراهيم,Elham Ibrahim
حلمي عبدالوهاب,Helmy Abdel Wahab
ميمو رمسيس,Memo Ramses
جمال رمسيس,Jamal Ramses
إيفا ماري سانت,Eva Marie Saint
جيمس ماسون,James Mason
جيسي رويس لانديس,Jesse Royce Landis
جوزفين هاتشينسون,Josephine Hutchinson
ليو جي. كارول,Liu Ji. Carol
كاري جرانت,Carrie Grant
ماجدة الخطيب,Magda Khatib
حسين فوزي,Hussein Fawzi
عبدالله غيث,Abdullah Ghaith
رفعت عزو,Rifaat Ezzo
نادية عزت,Nadia Ezzat
البير رياض,Albert Riyadh
إمتثال زكي,Zaki&#39;s compliance
ليلى ولالا,Laila and Lala
زينب حسن,Zainab Hassan
أحمد يحيى,Ahmed Yahya
تغريد بدر,Twitter Badr
سمير صبري,Samir Sabri
إكرام عزو,Ikram Ezzo
محمد حسن رمزي,Mohamed Hassan Ramzy
محد بدر الدين,محد بدر الدين
عبد الحميد بدوي,Abdul Hamid Badawi
وحدات الطيران الحربى,Military Aviation Units
زيزي مصطفى,Zizi Mustafa
رجاء الجداوي,Raja Al - Jeddawi
توني,Tony
فاطمة عمارة,Fatima Amara
زكي عبدالمجيد,Zaki Abdul Majeed
آمال عبده,Amal Abdo
وجدي العربي,Wajdi Al Arabi
رشاد إبراهيم,Rashad Ibrahim
نيفين,Neven
دينا,Dina
نهاد,Nihad
أوتو,Otto
هدية,Present
أحلام عبدالعزيز,Dreams of Abdulaziz
بيومى حسن أحمد,Bayoumi Hassan Ahmed
شوقي بركة,Shawki Baraka
محمد الكردي,Mohammed Alkurdi
محمد السبع أفندي,Mohamed El-Sabaa Effendi
فكرى رمزى,Fiki Ramzy
ناهد عزمي,Nahid Azmi
هالة شوكت,Hala Shawkat
بطه,Duck
محمد طه,Mohamed taha
فلكناز محمد رأفت,Valknaz Mohammed Raafat
يوسف عوف,Yousef Auf
أمين الهنيدي,Amin al-Hinaidi
محمود بسيونى,Mahmoud Bassiouni
عواطف الحملاوي,Awatif Al-Hamlawi
أبو بكر عزت,Abu Bakr Izzat
عزة عزت,Azza Ezzat
ياسمين,Jasmine
سناء مظهر,Sanaa appearance
نعمت شكرى,Naamat Shukry
محمد رفعت,Mohamed Refaat
محمد حسنين,Mohamed Hassanein
ابراهيم المدلل,Ibrahim the spoiled
حسن يوسف,Hassan Youssef
هدى توفيق,Hoda Tawfiq
المأمون أبو شوشة,Maamoun Abu Shousha
ميمي صدقي,Mimi Sadqi
ليلى عطا الله,Laila Atallah
عبدالخالق صالح,Abdul Khaliq Saleh
شريف حمدي,Sherif Hamdy
سعاد حسني,Soad Hosni
محرم فؤاد,Muharram Fouad
ليلى فهمي,Laila Fahmy
عايدة رزق,Aida Rizk
سعاد وهبى,Soad Wehbe
أحمد زكي يكن,Ahmed Zaki Yakan
ابراهيم رمضان,Ibrahim Ramadan
إبراهيم سعفان,Ibrahim Saffan
كريستينا,Christina
صالحة المهدى,Saleh Al Mahdy
عواطف يسرى,Emotional emotions
رويدا,Slowly
روجينا حداد,Rogina Haddad
أديب قدورة,Adeeb Kaddoura
سوسو ,so so
ممدوح بريجاوي,Mamdouh Brejawi
عدنان قربي,Adnan Qirbi
محمد جبولي,Mohammed Jbouli
شريف السيد,Sherif El Sayed
عبدالله الجندي,Abdullah Al-Jundi
وفاء سكر,Wafa Sugar
عامر السبيعي,Amer al-Subaie
سحر سالم,Sahar Salem
عبدالسلام الطيب,Abdul Salam Al Tayeb
نجاح حفيظ,The success of Hafeez
رفيق السبيعي,Rafik Al-Subaie
غادة الشمعة,Ghada Al Shamaa
صالح الحايك,Saleh Al Hayek
فافى مجدى,Fafi Magdy
حورية سامي,Humorous Sami
حياة عزمى,The life of Azmi
عمر ذو الفقار,Omar Zulfikar
نادية النقراشي,Nadia Al Nukrashi
جلال عزت,Jalal Ezzat
كريمة الشريف,Kareem Al-Sharif
ممدوح شكري,Mamdouh Shoukry
نبيل الشاذلي,Nabil Shazly
ابراهيم الجوهري,Ibrahim El Gohary
ساهر ,Saher
مجدي,Magdy
زينب نصار,Zainab Nassar
اسماعيل صبرى,Ismail Sabry
حمدى صالح,Hamdy Saleh
أحمد مرسي,Ahmed Morsi
فاروق مختار,Farouk Mokhtar
نعمان فتحي,Noman Fathy
سيد الحناوي,Sayed El Henawy
حسن الكرديني,Hassan al-Kordini
السيد زيادة,Mr. Ziadeh
 ياسين مرسي,Yasin Morsi
راوية الجمال,The story of beauty
أسرار,Secrets
فتحية طاهر,Fathia Taher
حسن منصور,Hassan Mansour
أمين عبدالحميد,Amin Abdul Hamid
حسن أنيس,Hassan Anis
وحيد كريم,Single cream
إبراهيم نجم,Ibrahim Najm
سيد جمعة,Sayed Juma
سمير خليل,Samir Khalil
يوسف جمول,Yousef Jamool
محمد شبل,Mohamed Shabel
حسين عبدالخالق,Hussein Abdul Khalek
ايلين لامبريتيدو,Eileen Lampretido
صلاح نادر,Salah Nader
أشواق,The lusts
سيد إبراهيم,Sayed Ibrahim
عبدالقادر فهمى,Abdulqader Fahmy
اسماعيل الدملاوى,Ismail Al - Damlawi
عادل خيري,Adel Khairy
سلطان الجزار,Sultan of the butcher
حسين الفار,Hussein al-Far
رجاء حسين,Raja Hussein
يعقوب ميخائيل,Jacob Michael
مجدى فريد,Magdy Farid
بيري,Perry
بوب عزام,Bob Azzam
سعد زغلول,Saad Zaghloul
محمد كامل حسن المحامي,Mohamed Kamel Hassan Lawyer
مجدى كامل حسن,Magdy Kamel Hassan
ميرفت عزو,Mervat Ezzo
محمد الرملي,Mohamed Ramli
نجيب أيوب,Najib Ayoub
سلطانة يوسف,Sultana Youssef
سلوى سعيد,Salwa Said
محمد سالم,Mohammed Salem
سامي الوليلي,Sami Al Waily
دنيا,Donia
لولى نادر,Lola rare
سيد القاضي,Mr. Judge
حللي محمد (محمد حللي),Hally Mohamed (Mohammad Halali)
عواطف تكلا,Emotions of Takla
إيمان ذو الفقار,Iman Zulfikar
أمال رمزي,Amal Ramzi
أمنية,a wish
سناء يونس,Sana Younis
عادل هيكل,Adel Heikal
سيد محمود,Mr mahmod
صلاح نافع,Salah Nafi
سلطانة,Sultana
شمس البارودي,Shams al-Baroudi
سميح كامل,Samih Kamel
عبدالعظيم شعلان,Azim Shaalan
نصر سيف,Nasr Saif
الثلاثي المرح,trio of fun
نبيلة عبيد,Nabila Obeid
ليندا بدوي,Linda Badawi
عادل المهيلمي,Adel al-Muhailmi
أنور ماضي,Anwar Madi
لوسى صادق,Lucy Sadek
أميمة عمارة,Omeima Amara
نوال الجزائرية,Nawal Aljazeera
منير يسى,Mounir Jesse
كمال صلاح الدين,Kamal Salah El Din
رشدى مرسى,Roushdy Marsa
وهبه ابراهيم,Wahba Ibrahim
حسني شريف,Hosny Sherif
فوزى المرصفى,Fawzi Al - Marsafi
محمد عوض,Mohamed Awad
رأفت فهيم,Raafat Fahim
محمد عبدالسلام,Mohammed Abdulsalam
محمد القباري,Mohammed Al-Qabari
إلهام بديع,Inspirational inspiration
مراد أباظه,Murad Abaza
كنعان وصفي,Kanaan Wasfi
رويدا عدنان,Rawaida Adnan
جنار طاهر,Genar Tahir
عبدالحميد الجندي,Abdul Hamid Al-Jundi
إسماعيل النواوى,Ismail al-Nawawi
مختار يونس,Mokhtar Younis
مصطفى كمال,Mustafa Kamal
طه بدوى,Taha Badawi
محمد عبدون,Mohamed Abdoun
منصور صابر,Mansour Saber
أحمد ثروت,Ahmed Tharwat
خيري القليوبي,Khairi Qalioubi
بوسي,Bossi
محمد جمال,Mohammed Jamal
طروب,Tarub
شريف مجدي,Sherif Magdy
البير ابراهيم,Albert Ibrahim
فايز حجاب,Fayez Hijab
زيزي أحمد,Zizi Ahmed
علي الزفتاوي,Ali Al-Ziftawi
عبدالعظيم عبدالحق,Abdel Azim Abdelhak
طارق توفيق,Tarek Tawfiq
محيي الدين الأزهري,Mohieddin Azhari
نوسه حسين,Nosse Hussein
محمد حسين,Mohammed Hussein
عادل عطية,Adel Attieh
فرقة رضا,Rida Band
محمود العراقي,Mahmoud Al-Iraqi
صالح سليم,Saleh Salim
أميرة البدراوي,Amira al-Badrawi
إنجى إسماعيل,Inge Ismail
ثريا عزمي,Thoraya Azmi
نوال صلاح الدين,Nawal Salah El Din
ليندا,Linda
محمد مصطفى سامي,Mohamed Mostafa Sami
اكرام,Ikram
فاطمة الجمال,Fatima al-Jamal
صالح محمد صالح,Saleh Mohammed Saleh
ميمي محمد,Mimi Mohammed
محمد الجمل,Mohamed El Gamal
عبده حجاج,Abdo Hajjaj
نادية عزمي,Nadia Azmi
شويكار,Shweikar
سميرة حشمت,Samira Heshmat
كوثر حنفي,Kawther Hanafi
شهيرة صاروف,Famous Sarov
جوهرة عزت ,Jewel of Izzet
سهير عزت   ,Suheir Ezzat
منى عبدالله,Mona Abdullah
حامد السيد,Hamed Al Sayed
فاروق سعيد,Farouk Said
عبدالغني طاهر,Abdul Ghani Taher
أحمد خميس,Ahmed Khamis
رفيق زريق,Rafik Zureik
ناني,Nani
سعد منيب,Saad Munib
أحمد مدكور,Ahmed Madkour
مرفت عطية,Mervat Atieh
مختار محمد مصطفى,Mokhtar Mohamed Mostafa
هاني,Hany
مشمش أندراوس,Apricot and Andrews
مفتاح,a key
مديحة سالم,Madiha Salem
شهيرة كمال,Shahira Kamal
